"Archive","SHA256","Package","Version","Architecture"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","termux-exec","1:2.4.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libandroid-posix-semaphore","0.1-4","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libcap-ng","2:0.9","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libsmartcols","2.41.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","util-linux","2.41.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","dialog","1.3-20240307-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","termux-tools","1.46.0+really1.45.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","bash","5.3.9","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","command-not-found","3.2-16","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","ed","1.22.5","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","debianutils","5.23.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","dos2unix","7.5.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","inetutils","2.6-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libtirpc","1.3.7-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","lsof","4.99.5-2","arm"
